CHROM,START,END,Li_Mu_fst_wc,Li_Fa_fst_wc,Li_Ga_fst_wc,Mu_Fa_fst_wc,Mu_Ga_fst_wc,Fa_Ga_fst_wc,Li_Mu_fst_hudson,Li_Fa_fst_hudson,Li_Ga_fst_hudson,Mu_Fa_fst_hudson,Mu_Ga_fst_hudson,Fa_Ga_fst_hudson,f3_Li_Mu_Fa_snp,f3_Li_Mu_Ga_snp,f3_Li_Fa_Ga_snp,f3_Mu_Li_Fa_snp,f3_Mu_Li_Ga_snp,f3_Mu_Fa_Ga_snp,f3_Fa_Li_Mu_snp,f3_Fa_Li_Ga_snp,f3_Fa_Mu_Ga_snp,f3_Ga_Li_Mu_snp,f3_Ga_Li_Fa_snp,f3_Ga_Mu_Fa_snp
134,1001,51000,0.010665453057974332,0.20337454454826215,0.2514937103058846,0.18576115986141828,0.2411435022891827,0.0055259337340632,0.015040116803029139,0.2042112906153565,0.25774176993178755,0.1782733569859771,0.23532611579897028,-0.010583105801487072,0.01991376155183453,0.01500022874919936,0.3066497392259122,-0.002930285000899775,0.001297490777397908,0.24801517230520037,0.23027923291646685,-0.0394685874497362,-0.0440910097022909,0.3352472329978564,0.03261230773404224,0.03771091609472908
134,51000,101000,-0.03340161219987815,0.26946857734834234,0.2211178374223448,0.20350536770974806,0.1775444983992303,-0.004048539954165755,-0.03579314644697234,0.26368910086219194,0.22203376784634998,0.20540440066377533,0.17803263633909072,-0.006496564995929133,0.024599154259536543,0.01353478401315592,0.3037727953484268,-0.057014183013820614,-0.04651554837271503,0.21838358225590687,0.370227696743554,0.024713789009497902,0.011020183175033879,0.27522425291452335,-0.026668787863360924,-0.015160107926487759
134,101000,151000,0.007623444987022312,0.2852552398223942,0.23232252190861494,0.16856657865430627,0.11712237669926162,-0.006868467952868276,-0.02589276169293753,0.26061396993407665,0.20586137060591614,0.12964493581713124,0.07871974694180323,-0.05311911453720099,0.07952910958904066,0.07173587328767124,0.32227311643835427,-0.09572648786980718,-0.08869794386062968,0.13022739974849742,0.2831848472005538,0.014736422085358558,0.006117951793105389,0.18686272018970077,-0.060958672086720574,-0.05324991531165287
134,151000,201000,0.00841751297553258,0.015370129967815525,0.07957687335453355,0.058910757777474454,0.16016319060642648,-0.007653377471878498,0.00924470224877728,0.014722399886530686,0.07403557954738148,0.06132890032172749,0.15682352144446002,-0.01186922673228775,-0.01713818087076062,-0.04097350798807042,0.05012458840094445,0.029146697455559374,0.05590907110491449,0.1314319013593584,0.036347862569599786,-0.04257834859759587,-0.07054674897226408,0.12953955841766326,0.02875114995400181,0.05512189512419497
135,1001,51000,-0.014326127678591379,0.0043518898095366845,0.03006576464093545,0.02425773116274073,0.03710343707833153,-0.01674629261482729,-0.003004245726266137,0.006434232207778627,0.03353422116451997,0.026532699136736924,0.04264102194419871,-0.008706295924498193,-0.015377815941004113,-0.009887362359834301,0.02302505303566011,0.0047846719093455675,-0.0022532674163009687,0.04114643262416967,0.02312665692798784,-0.018008440188281086,-0.01326353946870095,0.04400151860288521,0.008057465636287498,0.0038997580170168594
135,51000,101000,0.026198993644620215,0.057717863653661675,0.14432535934625382,0.06070559319234365,0.13316297885684278,0.037442573888924774,0.02884757532912073,0.06363943720579432,0.1475876552030223,0.06258777352266912,0.1328209172075344,0.04088588172606635,0.01499771977829227,0.02342489300498139,0.10198379288570811,0.01471424972430313,0.006721061337795175,0.08922750218656102,0.05027536923778301,-0.024378080565662794,-0.017145686562927386,0.14659103900310566,0.07192019320541883,0.06391009946077778
135,101000,151000,0.01367690613604008,0.07483684499824005,0.09952666807851324,0.16448658775336591,0.1813501068456699,-0.00631278533416426,0.014364744573815591,0.07679997600229677,0.1026705055094242,0.16111479651801963,0.18063547375836053,-0.007901502311185402,-0.046361650828614,-0.04241578050468428,0.09815096628243544,0.060320438692760305,0.05641485044230182,0.1994521864665192,0.1323087992632099,-0.016735676733566077,-0.012666065466825237,0.17132035185516603,0.010313371007747969,0.005793719794410205
135,151000,201000,-0.0025827949623124097,-0.01125762075896221,0.06408972884919098,0.07063070415682492,0.17627013025892357,0.019030871481151693,0.0013169751161017473,-0.014439005093210736,0.05998745912940887,0.06517724699542894,0.16853635412979198,0.010408363887560442,-0.03983728994398502,-0.06570418778340878,0.019728594291811098,0.04308248914616486,0.07267004341533989,0.1309008683068014,0.026776719660003098,-0.03473703368487323,-0.056801412718400654,0.12713307249797842,0.04300855924091327,0.06385184427943448
135,201000,251000,-0.02088990171257032,0.00039305581626643727,0.1338163906290141,0.024628496764171656,0.17502317099394274,0.0585410354662077,-0.02673692009539939,-0.003480634336357045,0.12303913927540994,0.020103492156340975,0.16197301409397286,0.045883467762529065,-0.02570365383095834,-0.041264535649379375,0.04470749269102101,-0.00017052531202158604,0.015159400217960969,0.08452549689924467,0.019742978936810426,-0.04334746887721977,-0.05729047436426907,0.1716398303296326,0.09291615667074653,0.10716509095513428
135,251000,301000,-0.012386977210358037,0.043244589807008044,0.010398153799752782,0.09572090687195149,0.06136916975456725,0.00956803682696271,-0.0010511227902532277,0.054306932824923375,0.016766157360515448,0.10534333184156146,0.06946126047249628,0.014436531372435408,-0.033122406937881745,-0.033213164112020264,0.03083871153624523,0.030541866849691134,0.030628345916266283,0.09157446808510626,0.08554778014644535,0.026758735749374325,0.026675317452961315,0.050532239991850886,-0.014169298156259535,-0.014077620454313962
